,Run 800 Meters; 40 sdhp 24/16 KB?s; 40 Walking Lunges with Kettlebells 24/16; 40 knees to elbows; Run 800 Meters
1099,5 Min AMRAP x 2; 2 Power Snatches 96/65; 2 Muscle Ups; M1: 4 Chest 2 Bar/4 Ring Dips; M2: 8 Pull-ups; 6 Air Squats; M1: 75/55; *2 Min rest between AMRAPS
1100,2 Rounds; 1 Min Max Effort WallBalls; 1 Min Max Effort DoubleUnders; 1 Min Max Effort Rowing; 1 Min Max Effort Bent Over Row 75/55; * 1 Min rest in between Rounds
1101,"7 Min AMRAP (Up Ladder of 3 reps); Goblet Squats Red/Yellow; Sit-Ups; *Reps increase by 3 (3,6,9?)"
1102,3 Min AMRAP x 3; 1 Muscle Up; 2 Deadlifts @ 80% of 1 RM; 4 Burpees; *1 min Rest inbetween AMRAP?s
1103,Partner WOD; Tail Pipe; 3 Rounds; 250 Row; Kettle Bell Rack Hold Red/Yellow; *Partner A will Row 250m While Partner B hold TWO RED kettlebells in the rack position. Once the row is completed partners will switch. The workout is finished when each partner has done 3 rounds of rowing and Rack Holding.
1104,Endurance; 1 Mile Run (Time Trial); 2 Minutes rest?.; 20 Min AMRAP; 10 KB Swings; 10 Box Jumps; 10 Sit-Ups; 2 Min Rest?; 20 Min AMRA/P; 10 Wall-Balls; 10 Thrusters 75/55; 10 Ball-Slams; Rest as needed; Finish with 1000m row.
1105,WOD/Strength; 5 Rounds; 2 Front Squats @ 225/155; 2 Back Squats @ 225/155; 3 Front Squats @ 185/130; 3 Back Squats @ 185/130; 5 Front Squats @ 135/95; 5 Back Squats @ 135/95; *Rest as long as it takes you to change out weights. Take a 2 min rest in between Rounds.; Mens MOD?s; M1: 185/135/95; M2: 135/95/75; Womens MOD?s; M1:125/85/65; M2:95/65/Barbell
1106,"Workout of the Day; A.; Every 2 minutes, for 10 minutes (5 sets):; 20-22 Walking Lunges (32/24 kg KBs in each hand); Remember this one from April 1, 2015? Goal is to either go heavier today, or take two extra steps per set.; B.; Every 3 minutes, for 15 minutes (5 sets):; Bench Press x 3-5 reps; Goal is to establish today?s 5-RM.; C.; Three sets of:; Single-Arm DB Row x 8-10 reps each @ 2111; Rest 45 seconds; Hollow Holds/Rocks x 60 seconds; Rest 45 seconds"
1107,"A.; Every minute, on the minute, for 30 minutes:; Minute 1 ? 30 Double-Unders; (or 40 seconds of Double-Under technique work if you?re still perfecting your double-unders); Minute 2 ? 10 Burpees; Minute 3 ? 15 Kettlebell Swings; B.; Three sets of:; Single-Arm Dumbbell Row x 6-8 reps; Rest as needed; Prone Plank Hold x 60-90 seconds; Rest as needed"
1108,"A.; Three rounds of:; Back Squat x 8 reps @ 3011; (increase load by 4-5% from that used on April 12); Rest 60 seconds; Dumbbell Bench Press x 8 reps @ 2011; Rest 60 seconds; V-Ups x 20 reps; Rest 60 seconds; B.; Every minute, on the minute, for 15 minutes:; Minute 1: 12 Kettlebell Swings + 6 Goblet Squats; Minute 2: 30 seconds of Rowing for Calories; (start the row at 15 seconds into the minute?finishing at 45 seconds); Minute 3: 6-8 Strict Pull-Ups"
1109,"Workout of the Day; In teams of two, complete as many rounds and reps as possible in 30 minutes of:; Run 400 Meters; 5 Pull-Ups; 10 Push-Ups; 15 Air Squats; Only one person may be running at a time. While one partner runs, the partner inside the gym should be working through as many rounds as possible of ?Cindy? (5 pull-ups, 10 push-ups and 15 air squats). Partners then switch roles once the running partner has returned"
1110,"In teams of 5, complete 3 sets each of:; 30 Calorie Row; 30 Burpees; 30 Sit-Ups; 30 Wall Ball Shots; Teams get one erg and one Wall Ball. Teams establish an order and line up behind their erg, maintaining that order for the workout. Athletes may not move to the next station until the athlete in front of them has finished their reps"
1111,"Workout of the Day; In teams of three, with one person running 300 meters at all times, complete as many rounds and reps as possible in 30 minutes of:; 10 Dumbbell Push Press; 10 Box Jump Overs; Teams establish and maintain the running order throughout the workout. The two teammates completing the couplet alternate rounds so that only one person is working at a time"
1112,"Workout of the Day; In teams of two, alternate tasks to complete as many rounds and reps as possible in 30 minutes of:; 12 Kettlebell Swings; 31 Mountain Climbers; 14 Burpees"
1113,"Workout of the Day; A.; Four sets of:; Barbell Push Press x 8-10 reps; Rest 45 seconds; Romanian Deadlift x 6-8 reps @ 3010; Rest 45 seconds; Elbows to Planks x 10 reps; Rest 45 seconds; B.; In teams of two, partners alternate rounds to complete five rounds each of:; Burpees x 10 reps; Dumbbell Push Press x 20 reps; Mountain Climbers x 30 reps (each step counts as one rep"
1114,"Workout of the Day; For time:; Run 5k; ***For our San Diego local Invictus crew?please meet at the gym at 8:30, 10:00 or noon ? you will be doing a slightly different workout. Your coach will be taking you on a 2.2 mile run with a few fun stations along the way.; ***For our friends that live in cold weather climates, you have options: Row 5k, or 400 Calories on the AirDyne. During this effort, you should consider why you don?t live in San Diego . . . where it will be 70 degrees"
1115,"Workout of the Day; Every four minutes, for a total of six sets, complete:; Goblet Squats x 15 reps; 400 Meter Run"
1116,"Workout of the Day; A.; Four sets of:; Deadlift x 8 reps @ 2111; Rest 45 seconds; L-Seated Dumbbell Press x 8 reps @ 2011; Rest 45 seconds; Supine Ring Row x 8 reps @ 2111; Rest 45 seconds; Side Plank x 30 seconds each side; Rest 45 seconds; B.; Complete rounds of 30, 20 and 10 reps for time of:; Kettlebell Swings; Shoulder to Overhead; Jumping Lunges"
1117,"Workout of the Day; In teams of two, complete the following for time:; 1600 Meter Med-Ball Relay Run; 100 Partnered Burpee Wall Ball Shots; (you must perform a burpee immediately after throwing the ball and before catching it from your partner?s toss); 200 Push-Ups; 300 Double-Unders; 400 Meter Walking Lunge Relay with Med-Ball; (only the partner with the ball may lunge the team forward"
1118,"A.; Every 3 minutes, for 18 minutes (6 sets), rotate through the following stations:; Minutes 1-3 & 10-12 ? Rope Climb Technique Work ? no more than 4 ascents; (if you don?t have a rope, work on achieving 12 perfect L-Pull-Ups); Minutes 4-6 & 13-15 ? Freestanding Handstand Hold Work; (use partner assists to learn balance points and accumulate time upside down); Minutes 7-9 & 16-18 ? Tuck Rock to Tuck Sit x 15 reps; B.; Three sets, for max reps/calories of:; 3 Minutes of Assault Bike or Rowing (for Max Calories); 2 Minutes of Strict Handstand Push-Ups; 1 Minute of Strict Pull-Ups; Rest 3 minutes"
1119,"A.; Four sets of:; Back Squat x 6-8 reps; Rest 20 seconds; Kettlebell Swings x 15 reps; Rest 60 seconds; Pull-Ups x 6-8 reps @ 2110; Rest 60 seconds; B.; In teams of four, relay to complete as many rounds and reps as possible in 12 minutes of:; 9 Burpee Box Jump-Overs"
1120,"Workout of the Day; 2012 Look Good, Feel Good Challenge Workout; For Max Reps (or Calories):; 2 Minutes Row for Calories; Rest 2 minutes; 2 Minutes Max Reps Kettlebell Swings (24/16 kg); Rest 2 minutes; 2 Minutes Max Reps Burpees; Rest 2 minutes; 2 Minutes Max Reps Sit-ups; Rest 2 minutes; 2 Minutes Row for Calories"
1121,Workout of the Day; A.; Four sets of:; Front-Racked Alternating Reverse Lunges x 8-10 reps each leg @ 20X1; Rest 45 seconds; Ring Rows x 10-12 reps @ 2111; Rest 45 seconds; Plank Hold x 45 seconds; Rest 45 seconds; B.; Three rounds for time of:; Goblet Squats x 15 reps; 400 Meter Run
1122,"A.; Three sets of:; Romanian Deadlifts x 6-8 reps @ 3011; Rest 45 seconds; Push-Ups x 15-20 reps @ 1010; Rest 45 seconds; Kettlebell Swings x 15-20 reps; Rest 45 seconds; Hollow Hold/Rock x 30-45 seconds; Rest 45 seconds; B.; In teams of two, alternate sets to complete 3 each of:; 5 Dumbbell Man-Makers; 300 Meter Run"
1123,"Workout of the Day; A.; Five sets of:; Unsupported Seated Strict Press x 4-5 reps; (sit on a bench without back support and press the barbell from shoulder to overhead); Rest 2-3 minutes; B.; Against a 7-minute running clock, complete:; 500 Meter Row; ?; As many rounds and reps as possible of:; 5 Single Arm Press each arm; 10 Box Jump-Overs"
1124,"Workout of the Day; Four sets of:; Barbell Shoulder Press x 8-10 reps @ 20X1; Rest 45 seconds; Flutter Kicks x 30-45 seconds; Rest 45 seconds; Jumping Squats x 10-15 reps; Rest 45 seconds;; and then,; In teams of two, partners alternate exercises in order to complete as many rounds as possible in 10 minutes of:; Wall Ball Shots x 10 reps; 100 Meter Sprint; Ball Slams x 10 reps"
1125,Workout of the Day; A.; Three sets of:; Kneeling Halos x 3-5 reps to each direction; Rest 60 seconds; Back Squat x 8-10 reps; Rest 60 seconds; Russian Step-Ups x 8-10 reps each leg; Rest 60 seconds; B.; Two sets for max reps of:; Wall Ball Shots x 60 seconds; Rest 60 seconds; Kettlebell Swings x 60 seconds; Rest 60 seconds; Strict Pull-Ups x 60 seconds; Rest 60 seconds
1126,A.; Five sets of:; Weighted Pull-Ups x 2 reps; Rest 30 seconds; immediately followed by?; Five sets of:; 30 seconds of Strict Supinated-Grip Pull-Ups x Max reps; Rest 30 seconds; B.; Against a 4-minute running clock:; 500 Meter Row; 15 Box Jump Overs; Mountain Climbers x Max reps; Rest 4 minutes and complete three sets
1127,"Workout of the Day; In teams of two, with one person working at a time, complete:; 50 Power Cleans (135/95 lbs); 800 Meter Run (400 Meters each); 50 Front Squats (135/95 lbs); 800 Meter Run (400 Meters each); 50 Shoulder to Overhead (135/95 lbs); 800 Meter Run"
1128,"Workout of the Day; In teams of three, alternating partners after every completed round, complete as many rounds and reps as possible in 30 minutes of:; 20 Kettlebell Swings (24/16 kg); 15 Push-Ups; 10 Pull-Ups"
1129,"Workout of the Day; A.; Four sets of:; Push-Press x 6-8 reps; Rest 60 seconds; Side Planks x 30 seconds each side; Rest 60 seconds; Strict Supinated-Grip Pull-Ups x 5 reps @ 3111; Rest 60 seconds; B.; 600 Meter Partnered Farmer?s Carry; Teams of two must move as much weight as possible 600 meters in a farmer?s carry. Every time the weight touches the ground or partners change roles (from working to resting), each partner must perform 5 burpees upon returning to the gym at the half-way and finish"
1130,"Workout of the Day; A.; Teams of three must complete a total of 4 sets each as quickly as possible of:; Row 500 Meters; ?; 5 Hand-Release Push-Ups; 10 Box Jumps (24?/18?); 5 Hand-Release Push-Ups; 10 Box Jumps (24?/18?); 5 Hand-Release Push-Ups; 10 Box Jumps (24?/18?); ?; Run 400 Meters; Teammates must attack the workout in order, and cannot perform similar tasks at the same time. All teammates start on the row . . . which means Teammate B has to wait until Teammate A has completed the 500 meter Row before he/she may begin. Teammates cannot be performing the gymnastics couplet or the run at the same time. Thus, Teammate B needs to wait until Teammate A returns from his/her run before he/she may begin the run"
1131,"Workout of the Day; A.; Four sets of:; Against a 4 minute running clock, complete:; 25 Kettlebell Swings (32/24 kg); Run 400 Meters; Double-Unders x Max Reps; Rest 4 minutes between sets; B.; Three sets of:; Single-Arm Dumbbell Row x 8-10 reps each @ 2111; Rest 60 seconds; Side Plank x 45-60 seconds each side; Rest 60 seconds"
1132,"Workout of the Day; A.; Four rounds of:; Back Squat x 6 reps @ 3011; Rest 60 seconds; Weighted Box Step-Ups x 6 reps each leg @ 2111; Rest 60 seconds; Dumbbell Bench Press x 8 reps @ 2011; Rest 60 seconds; B.; Complete as many rounds and reps as possible in 6 minutes of:; 20 Alternating Reverse Lunges with Dumbbells; 10 Renegade Rows (Push-Up, Row Left, Push-Up, Row Right"
1133,"Workout of the Day; In teams of two, alternate tasks to complete as many rounds and reps as possible in 24 minutes of:; 10 Dumbbell Ground to Overhead; 10 Chest to Bar Pull-Ups; 200 Meter Sprint"
1134,"Workout of the Day; A.; Every 8 minutes, for 40 minutes (5 sets) of:; Run 800 Meters; 21 Kettlebell Swings; 12 Strict Pull-Ups; Note times for each set, and add them for total working time.; B.; Hawaiian Squats x 8-10 reps per side; Hollow Body Hold/Rocks x 45-60 seconds"
1135,"Workout of the Day; A.; Four sets of:; Box Step-Ups x 8 each leg; (rest 30 seconds between legs); Rest 60 seconds; Single-Arm Dumbbell Row x 6-8 each arm; Rest 60 seconds; B.; Complete as many rounds and reps as possible in 12 minutes of:; 10 Barbell Thrusters (75/55 lbs); 20 Overhead Alternating Reverse Lunges; *Want a bigger challenge? Use dumbbells or kettlebells instead. Don?t be too ambitious with the weight, 25/15 lb DBs in each hand will likely be quite challenging.; ??????-; Invictus is Hiring!; Find out more here!; ??????-; Athletes, do you want to see CJ ride the Assault Bike?; Vote now for Invictus and CJ will ride one calorie on the Assault Bike for every vote we get!; Click here to vote now"
1136,"A.; Every minute, on the minute, for 15 minutes:; 3 Strict Pull-Ups; 3 Renegade Rows; (Renegade Row = Push-Up, Row Left, Push-Up, Row Right); B.; For max reps:; 3 Minutes of Assault Bike (for calories); Rest 2 minutes; 3 Minutes of Burpees Over a Box (24?/20"
1137,"Workout of the Day; ?Pick Your Poison?; This WOD is broken into two components ? set stations and strategic choices. Participants will be broken into groups of four and will be assigned a station. At the stations, no two members can be performing the same movement, which means that you must wait for your teammate to complete their 15 repetitions before the group rotates to the next exercise. Once each member has completed 15 reps of each of the four exercises at the station, you will move on to the choice exercise. Choose one of the two tasks; each member must complete the assigned number of reps.; Choice # 1 ? Run or Row? ? 1600m relay run (400m each teammate) OR 2000m relay row (500m each teammate); Station = 15 KB Swings + 15 DB Thrusters + 15 Sit-Ups + 15 Box Jumps; Choice # 2 ? Top or Bottom? ? 15 HSPU or 50 Squats; Station = 15 KB Swings + 15 DB Thrusters + 15 Sit-Ups + 15 Box Jumps; Choice # 3 ? Push or Pull? ? 50 Push-Ups or 25 Pull-Ups; Station = 15 KB Swings + 15 DB Thrusters + 15 Sit-Ups + 15 Box Jumps; Choice # 4 ? Jump or Drop? ? 50 Jumping Squats or 25 Burpees; Station = 15 KB Swings + 15 DB Thrusters + 15 Sit-Ups + 15 Box Jumps; Choice # 5 ? Press or Hang? ? 25 Ring Dips or 25 Knees to Elbows"
1138,Workout of the Day; A.; Five sets of:; Deadlift x 5-7 reps; Rest 20 seconds; Push-Ups x 15-20 reps; Rest 20 seconds; Kettlebell Swings x 20 reps; Rest 3 minutes; B.; For time:; Row 2000 Meters
1139,Workout of the Day; A.; Goblet Squat x 8-10 reps @ 3011; Rest 45 seconds; Single-Arm Dumbbell Row x 8-10 reps each arm @ 2111; Rest 45 seconds; Bilateral Hip Bridge x 10-12 reps @ 2011; Rest 45 seconds; B.; Complete as many rounds and reps as possible in 10 minutes of:; 10 Push-Ups; 15 Sit-Ups; 200 Meter Run
1140,"A.; Every minute on the minute for 15 minutes (5 sets):; Station 1 ? Romanian Deadlift x 6-8 reps @ 20X1; Station 2 ? Alternating Reverse Lunges x 10 reps; (perform these as heavy as possible); Station 3 ? Single-Arm DB Press x 6 each arm; B.; Every minute on the minute for 15 minutes:; 5 Renegade Rows; (Push-Up, Row Left, Push-Up, Row Right); 5 Burpees; If you fail to complete the round within the minute, finish all of the repetitions and then sit out the minute in which you carried over into. Restart at the top of the following minute.; C.; Every 2 minutes, for 10 minutes (5 sets):; 100 Meter Farmer?s Carry (as heavy as possible"
1141,Workout of the Day; A.; Four sets of:; Kettlebell Swings x 20-25 reps; Rest 45 seconds; Dumbbell Walking Lunges x 20 steps; Rest 45 seconds; Side Plank x 30-45 seconds each side; Rest 45 seconds; B.; Complete as many rounds and reps as possible in 8 minutes of:; Burpees x 10 reps; Row 250 Meters
1142,Workout of the Day; A.; Four sets of:; Front Squats x 8-10 reps @ 30X1; Rest 45 seconds; Ring Rows x 10-12 reps @ 2111; Rest 45 seconds; Partnered Leg Tosses x 15-20 reps; Rest 45 seconds; B.; Four rounds for time of:; Push-Ups x 10 reps; Squats x 25 reps; Row 250 meters
1143,"Workout of the Day; Every 8 minutes, for 40 minutes (5 sets) of:; Run 800 Meters; 12 Chest-to-Bar Pull-Ups or Strict Pull-Ups; 12 Strict Handstand Push-Ups or L-Seated DB Press; Note times for each set, and add them for total working time"
1144,"Workout of the Day; In teams of two, complete as many rounds and reps as possible in 30 minutes of:; 400 Meter Run; 30 Kettlebell Swings (32/24 kg); 20 Box Jump-Overs (24?/20?); Team members will alternate tasks, with only one member working at any one time. Thus, Partner A will run 400 meters, Partner B will perform 30 Kettlebell Swings, Partner A will perform 20 Box Jump-Overs, and Partner B will run 400 meters ? and so on for 30 minutes"
1145,"In teams of three, perform three rounds each for time of:; Row 800/650 Meters; Run 400 Meters; 20 Toes to Bar; Teammates roll through this in congo-line fashion, jumping onto the Concept 2 erg as soon as the teammate in front of them is off and has begun the 400 meter run"
1146,Workout of the Day; A.; Four sets of:; Goblet Squat x 8-10 reps @ 3011; Rest 45 seconds; Pull-Ups x 5-7 reps @ 2111; (weight as heavy as possible for rep range); Rest 45 seconds; Russian Step-Up x 8-10 reps each leg; Rest 45 seconds; B.; Four rounds for time of:; Row 250 Meters; 100 Meter Farmer?s Carry
1147,"A.; Every 2 minutes, for 10 minutes (5 sets):; 20 Walking Lunges (32/24 kg KBs in each hand); B.; Every 3 minutes, for 15 minutes (5 sets):; Bench Press x 4-6 reps; C.; Three sets of:; Single-Arm DB Row x 8 reps each @ 2111; Rest 45 seconds; Hollow Holds/Rocks x 60 seconds; Rest 45 seconds"
1148,Workout of the Day; Seven rounds for time of:; 4 Snatches (135/95 lbs); 6 Clean and Jerks (135/95 lbs); 9 Deadlifts (135/95 lbs); *Scale as needed
1149,"A.; Every minute, for 18 minutes:; Minute 1 ? 2 Turkish Get-Ups (alternate arms, perform slow and controlled ? each rep should take close to 10 seconds or more); Minute 2 ? Single-Leg Deadlift x 6 reps each leg @ 2011; Minute 3 ? Seated Strict Press x 8 reps @ 2011; B.; Three rounds for time of:; 10 Dumbbell Push Presses; 10 Box Step-Overs with Dumbbells; 10 Strict Pull-Ups"
1150,"A.; Every minute, on the minute, for 18 minutes:; Minute 1 ? 2 Turkish Get-Ups (alternate arms, perform slow and controlled ? each rep should take close to 10 seconds or more); Minute 2 ? Single-Leg Deadlift x 6 reps each leg @ 2011; Minute 3 ? Seated Strict Press x 8 reps @ 2011; B.; Three sets for max reps of:; 60 seconds of Push Press; 60 seconds of Box Jumps or Step-Ups; 60 seconds of Rest"
1151,"Workout of the Day; A.; Every 90 seconds, for 18 minutes (4 sets of each):; Station 1 ? Romanian Deadlift (with DBs or BB) x 6-8 reps @ 3011; (stick to the tempo ? 3 second descent ? use more weight than used on April 16); Station 2 ? Supine Ring Row x 8-10 reps @ 2111; (get as horizontal as possible); Station 3 ? L-Seated Dumbbell Press x 8 reps @ 2111; (increase load from weight used on April 16); B.; Five rounds for time of:; 5 Shoulder to Overhead; 10 Burpees Over the Barbell"
1152,Workout of the Day; A.; Three sets of:; Strict Dumbbell Press x 8-10 reps @ 2011; Rest 45 seconds; Supine Ring Rows x 8-10 reps @ 2111; Rest 45 seconds; Prone Plank Hold x 45 seconds; Rest 45 seconds; Dumbbell Bench Press x 8-10 reps @ 2011; Rest 45 seconds; Strict Supinated-Grip Pull-Ups x 4-8 reps @ 2110; (add weight if possible); Rest 45 seconds; B.; Complete as many rounds and reps as possible in 8 minutes of:; 10 Dumbbell Push Press; 10 Box Step-Overs with Dumbbells; Run 100 Meters
1153,"Workout of the Day; A.; Every 3 minutes, for 15 minutes (5 sets):; Seated Shoulder Press x 6-8 reps @ 2111; Use the time between sets to stretch calves and hip flexors.; B.; Complete as many rounds and reps as possible in 10 minutes of:; 10 Strict Handstand Push-Ups; 10 Strict Pull-Ups; 20 Russian Kettlebell Swings; If you don?t have strict handstand push-ups yet, modify this to a L-Seated Strict Dumbbell Press with a weight that will be challenging to get 10 unbroken reps on the first set"
1154,"Workout of the Day; A.; Three rounds of:; Back Squat x 10 reps @ 3011; Rest 60 seconds; Dumbbell Bench Press x 10 reps @ 2011; Rest 60 seconds; V-Ups x 20 reps; Rest 60 seconds; Increase loads from those used on May 11, 2015.; B.; For time:; Run 800 Meters; immediately followed by?; Five rounds of:; 12 Push-Ups; 12 Box Jump-Overs; immediately followed by?; Row 1000 Meters"
1155,"Workout of the Day; A.; Every 5 minutes, for 30 minutes (6 sets):; Run 400 Meters; 20 Russian Kettlebell Swings (heavy); 40 Double-Unders; B.; Two sets of:; Hawaiian Squat x 90 seconds each side; Prone Plank x 60 seconds"
1156,"Workout of the Day; A.; Five sets of:; Dumbbell Shoulder Press x 4-6 reps @ 2011; Rest 60-90 seconds; Farmer?s Carry x 100 Meters; Rest 60-90 seconds; B.; Complete as many rounds and reps as possible in 4 minutes of:; 4 Strict Pull-Ups; 8 Push Presses (95/65 lbs); Rest 4 minutes, and then . . .; Complete as many rounds and reps as possible in 4 minutes of:; 15 Kettlebell Swings (32/24 kg); 15 Push-Ups"
1157,A.; Five sets of:; Kettlebell Swings x 20 reps; Rest 30 seconds; Dumbbell Front Squats x 8-10 reps @ 20X1; Rest 30 seconds; Ring Rows x 8-10 reps @ 2111; Rest 30 seconds; B.; Two sets for times of:; Burpees x 15 reps; 300 Meter Run; Rest 2 minutes
1158,"Workout of the Day; A.; Against a 4-minute running clock, perform the following for max reps:; Run 600 Meters; Push-Ups x Max Reps; Rest exactly 4 minutes, and then . . .; B.; Complete as many rounds and reps as possible in 4 Minutes of:; 10 Box Jumps (24?/20?); 10 Pull-Ups; Rest exactly 4 minutes, and then . . .; C.; Complete as many rounds and reps as possible in 4 Minutes of:; 5 Burpees; 5 Thrusters (95/65 lbs); Rest exactly 4 minutes, and then . . .; D.; Complete as many rounds and reps as possible in 4 Minutes of:; 30 Double-Unders; 10 Toes to Bar"
1159,"A.; Four sets of:; Bench Press x 6-8 reps @ 2011; Rest 45 seconds; Plank from Elbows x 45-60 seconds; Rest 45 seconds; Ring Rows x 8-10 reps @ 2111; Rest 45 seconds; B.; In teams of two, alternate full rounds and complete 5 each of:; 20 Kettlebell Swings; 20 Push-Ups"
1160,"Workout of the Day; A.; Every two minutes, for 6 minutes (3 sets):; Dumbbell Walking Lunge x 20 steps @ 10X0; Go heavy the final steps should not be performed without struggle.; B.; Complete as many rounds and reps as possible in 5 minutes of:; 20 Double-Unders; 10 Air Squats; Rest 1 minute; Complete as many rounds and reps as possible in 5 minutes of:; 5 Dumbbell Man-Makers; 10 Box Jumps (24?/20?); Rest 1 minute; Complete as many rounds and reps as possible in 5 minutes of:; 5 Toes to Bar; 10 Push-Ups"
1161,Workout of the Day; A.; Four sets of:; Deadlift x 6-8 reps @ 3011; Rest 60 seconds; Double-Under Practice x 45-60 seconds; Rest 60 seconds; Strict Pull-Ups x 6-8 reps @ 2110; (add weight if that rep range is easily achievable); Rest 60 seconds; B.; Three sets of:; Row 350 Meters; Farmer?s Walk x 100 Meters; Rest 3 minutes
1162,"Workout of the Day; A.; Every 90 seconds, for 12 minutes (2 sets of each):; Station 1 ? Muscle-Ups x 3-8 reps; (or low-ring muscle-up transitions x 3-8 reps, or ring dips x 6-8 reps @ 2111); Station 2 ? Arch to Hollow Rolls x 20 reps; (alternate from holding a supine hollow body position to a prone arch/superman position without your hands or feet touching the floor); Station 3 ? Supine Ring Rows x 10-12 reps @ 2111; (get as horizontal as possible, maintain engaged glutes and abdominals throughout the movement); Station 4 ? 45-60 seconds of Handstand Walking ? use a partner to assist if necessary; (OR 45-60 second Nose-to-Wall Handstand Hold if you need more time to get comfortable upside down); B.; Against a 2-minute running clock, complete a total of six sets of the following:; Row 300/250 Meters; Push-Ups x Max Reps; Rest 2 minutes between sets"
1163,Workout of the Day; A.; Four sets of:; Back Squat x 8-10 reps @ 30X1; Rest 60 seconds; Strict Pull-Ups x 4-6 reps @ 21X0; (add as much weight as possible while achieving at least 4 reps); Rest 60 seconds; Double-Under Practice x 60 seconds; Rest 60 seconds; B.; For time:; Row 1000 Meters; followed immediately by . . .; Three rounds of:; 20 Kettlebell Swings; 10 Toes to Bar; 10 Strict Handstand Push-Ups or L-Seated Dumbbell Press
1164,"Workout of the Day; Five sets of:; Against a 3 minute running clock, complete as many rounds and reps as possible of:; 20 Pull-Ups; 30 Push-Ups; 40 Sit-Ups; 50 Squats; Rest 3 minutes between sets, and pick up the next set where you left off"
1165,"Workout of the Day; A.; Three sets of:; Deadlift x 6-8 reps @ 20X1; Rest 60 seconds; Wall Climbs x 3-5 reps; Rest 60 seconds; Double-Under Practice x 60 seconds; Rest 60 seconds; B.; In teams of two, partners alternate rounds to complete five each of:; Dumbbell Ground to Overhead x 5 reps; 100 Meter Run"
1166,Workout of the Day; A.; Three sets of:; Strict Pull-Ups x 6-8 reps @ 21X1; Rest 45 seconds; Bottom?s Up Kettlebell Walk x 100? each arm; Rest 45 seconds; Turkish Get-Up x 2 reps each arm; Rest 45 seconds; B.; Complete as many rounds and reps as possible in 12 minutes of:; 10 Renegade Rows; 20 Box Jumps; Run 200 Meters
1167,"Workout of the Day; A.; Every 2 minutes, for 24 minutes (4 sets of each):; Station 1 ? Bulgarian Goat Bag Swings x 10-12 reps @ 3011; Station 2 ? Single-Leg Box Step-Up x 6-8 reps each @ 3111; Station 3 ? Supine Ring Rows x 8-10 reps @ 2111; B.; Against a 3-minute running clock, climb as high as possible through the following ladder:; 1 Thruster; 1 Burpee; 2 Thrusters; 2 Burpees; 3 Thrusters; 3 Burpees; 4 Thrusters; 4 Burpees; 5 Thrusters; 5 Burpees?; ?continuing to climb the ladder until 3 minutes is up.; Rest 3 minutes between sets, and complete a total of three sets"
1168,Workout of the Day; A.; Three sets of:; Strict Supinated-Grip Pull-Ups x 5 reps @ 21X0; (add weight if possible); Rest 60 seconds; Side Planks x 30 seconds each side; Rest 60 seconds; Double-Under Practice x 60 seconds; Rest 60 seconds; B.; Complete as many rounds and reps as possible in 8 minutes of:; 10 Dumbbell Push Presses; 10 Burpee Box Jump-Overs
1169,For Time:; 45 Deadlifts (275/185); 45 Bar Facing Burpees
1170,"For time:; 30-20-10; Wall Ball 20/14; Pullups; Performance: 16/12, (15-10-5 Pullups); Fitness: Choice, Jumping Pull Ups or Ring Rows"
1171,20 Back squats 185/115; Row 1000m; * Back squats are taken off the deck
1172,WORKOUT 13.3; MEN - includes Masters Men up to 54 years old; Complete as many rounds and reps as possible in 12 minutes of:; 150 Wall balls (20 lbs to 10' target); 90 Double-unders; 30 Muscle-ups; WOMEN - includes Masters Women up to 54 years old; Complete as many rounds and reps as possible in 12 minutes of:; 150 Wall balls (14 lbs to 9' target); 90 Double-unders; 30 Muscle-ups
1173,"WORKOUT 13.4; MEN - includes Masters Men up to 54 years old; Complete as many reps as possible in 7 minutes following the rep scheme below:; 135 pound Clean and jerk, 3 reps; 3 Toes-to-bar; 135 pound Clean and jerk, 6 reps; 6 Toes-to-bar; 135 pound Clean and jerk, 9 reps; 9 Toes-to-bar; 135 pound Clean and jerk, 12 reps; 12 Toes-to-bar; 135 pound Clean and jerk, 15 reps; 15 Toes-to-bar; 135 pound Clean and jerk, 18 reps; 18 Toes-to-bar...; This is a timed workout. If you complete the round of 18, go on to 21. If you complete 21, go on to 24, etc.; WOMEN - includes Masters Women up to 54 years old; Complete as many reps as possible in 7 minutes following the rep scheme below:; 95 pound Clean and jerk, 3 reps; 3 Toes-to-bar; 95 pound Clean and jerk, 6 reps; 6 Toes-to-bar; 95 pound Clean and jerk, 9 reps; 9 Toes-to-bar; 95 pound Clean and jerk, 12 reps; 12 Toes-to-bar; 95 pound Clean and jerk, 15 reps; 15 Toes-to-bar; 95 pound Clean and jerk, 18 reps; 18 Toes-to-bar...; This is a timed workout. If you complete the round of 18, go on to 21. If you complete 21, go on to 24, etc."
